filename,width,height,channels,brightness,blur_score,readable
90960ddf4d14,2048,1536,3,30.223610560099285,26.891852696736652,True
4e0656629d02,2588,1958,3,61.34400580663801,14.331817469564228,True
3b018e8b7303,2588,1958,3,57.85509079384225,4.471071397778388,True
55eb405ec71e,3388,2588,3,68.15235550419793,6.367078023968768,True
207dd0487264,1050,1050,3,80.9071873015873,49.135177317450264,True
1d74c4713e21,2048,1536,3,43.67559782663981,21.622355143229168,True
eb175669d789,819,614,3,39.927803828455296,11.975075075483591,True
b49b2fac2514,3388,2588,3,62.58491717289314,11.385197704667323,True
4a44cc840ebe,3216,2136,3,58.66408098785101,14.219807150317868,True
d6283ded6aea,3216,2136,3,72.14586128347028,4.255291891097505,True
29d059522fa1,1050,1050,3,77.87276099773243,47.20420707113519,True
3908b3cfd620,1050,1050,3,75.35520362811792,53.32220305435616,True
5486da4273d7,3388,2588,3,68.01652596034006,15.109744316666712,True
51d574513bcb,1844,1226,3,61.25018356788738,5.3154651666260335,True
a47878630dc2,2588,1958,3,46.948874588933286,12.23616483228815,True
83517eaeccb9,1050,1050,3,54.376878911564624,39.00901266439397,True
e5f73f2855c0,1050,1050,3,83.2675537414966,48.544169077728704,True
63b71347e95d,1050,1050,3,75.35584943310657,37.80735109653202,True
e1b8acb1cea1,1050,1050,3,78.43195283446713,47.72838815257018,True
3f6bccf21ce8,1050,1050,3,87.48438367346938,52.131366550649986,True
b72f59b85f7c,2048,1536,3,42.85560131072998,22.19083023071289,True
c013e869acce,2048,1536,3,56.172821362813316,19.992760976155598,True
0243404e8a00,2588,1958,3,57.862110897629194,13.778530948643759,True
494fc9c745a3,2416,1736,3,59.5702064004944,9.75735829453994,True
4da2961e62fe,2588,1958,3,92.37042498338367,33.923423762104086,True
a49b0b4484ea,2588,1958,3,51.8642051078838,13.176093834357287,True
9da74370835a,2416,1736,3,70.41201823671682,11.068489473988018,True
59e5212f7139,2416,1736,3,81.97039156201362,8.87799986776954,True
3c72f580d4ba,1050,1050,3,76.69580770975057,39.74370564935887,True
cf8f1bc7a215,819,614,3,37.104491057259786,42.43928203537324,True
b06dabab4f09,1504,1000,3,39.124630984042554,29.701245291898474,True
6c2555a9cae4,2416,1736,3,69.00266989272744,12.482164788654007,True
